id,label
ivo://asu.cas.cz/stel/ccd700/uc050029,2
ivo://asu.cas.cz/stel/ccd700/sd150065,1
ivo://asu.cas.cz/stel/ccd700/oj140028,1
ivo://asu.cas.cz/stel/ccd700/a201510030016,0
ivo://asu.cas.cz/stel/ccd700/wd240048,2
ivo://asu.cas.cz/stel/ccd700/ml090037,0
ivo://asu.cas.cz/stel/ccd700/wc290009,0
ivo://asu.cas.cz/stel/ccd700/vb120025,1
ivo://asu.cas.cz/stel/ccd700/ue080044,0
ivo://asu.cas.cz/stel/ccd700/a201307200049,0
ivo://asu.cas.cz/stel/ccd700/uj030076,3
ivo://asu.cas.cz/stel/ccd700/pj100023,1
ivo://asu.cas.cz/stel/ccd700/mh250011,0
ivo://asu.cas.cz/stel/ccd700/a201409270064,0
ivo://asu.cas.cz/stel/ccd700/a201403110075,1
ivo://asu.cas.cz/stel/ccd700/mi170029,0
ivo://asu.cas.cz/stel/ccd700/vc150070,0
ivo://asu.cas.cz/stel/ccd700/qi240024,1
ivo://asu.cas.cz/stel/ccd700/a201503180031,1
ivo://asu.cas.cz/stel/ccd700/a201309070019,2
ivo://asu.cas.cz/stel/ccd700/wd130025a,1
ivo://asu.cas.cz/stel/ccd700/a201507200009,0
ivo://asu.cas.cz/stel/ccd700/a201505100038,3
ivo://asu.cas.cz/stel/ccd700/qd050015,3
ivo://asu.cas.cz/stel/ccd700/ud170011,0
ivo://asu.cas.cz/stel/ccd700/a201512060063,0
ivo://asu.cas.cz/stel/ccd700/si220038,1
ivo://asu.cas.cz/stel/ccd700/a201512070035,2
ivo://asu.cas.cz/stel/ccd700/a201409050056,0
ivo://asu.cas.cz/stel/ccd700/a201409270018,3
ivo://asu.cas.cz/stel/ccd700/pj080039,0
ivo://asu.cas.cz/stel/ccd700/a201403110030,2
ivo://asu.cas.cz/stel/ccd700/od150042,1
ivo://asu.cas.cz/stel/ccd700/a201509300032,0
ivo://asu.cas.cz/stel/ccd700/si180020,0
ivo://asu.cas.cz/stel/ccd700/td210045,0
ivo://asu.cas.cz/stel/ccd700/sd030013,1
ivo://asu.cas.cz/stel/ccd700/vg100026,0
ivo://asu.cas.cz/stel/ccd700/rd050012,0
ivo://asu.cas.cz/stel/ccd700/a201510110030,0
ivo://asu.cas.cz/stel/ccd700/a201406180038,1
ivo://asu.cas.cz/stel/ccd700/rd140008,1
ivo://asu.cas.cz/stel/ccd700/a201308280018,2
ivo://asu.cas.cz/stel/ccd700/uj020107,1
ivo://asu.cas.cz/stel/ccd700/a201507070014,1
ivo://asu.cas.cz/stel/ccd700/pl140035,1
ivo://asu.cas.cz/stel/ccd700/oh190029,1
ivo://asu.cas.cz/stel/ccd700/td280010,1
ivo://asu.cas.cz/stel/ccd700/a201505170022,1
ivo://asu.cas.cz/stel/ccd700/vb040029,1
ivo://asu.cas.cz/stel/ccd700/ml090035,1
ivo://asu.cas.cz/stel/ccd700/ti120025,1
ivo://asu.cas.cz/stel/ccd700/rc070022,0
ivo://asu.cas.cz/stel/ccd700/wd240018,1
ivo://asu.cas.cz/stel/ccd700/pc190004,1
ivo://asu.cas.cz/stel/ccd700/kl090012,0
ivo://asu.cas.cz/stel/ccd700/a201507200035,0
ivo://asu.cas.cz/stel/ccd700/a201310070025,0
ivo://asu.cas.cz/stel/ccd700/mh260032,0
ivo://asu.cas.cz/stel/ccd700/tg120017,3
ivo://asu.cas.cz/stel/ccd700/oi190038,0
ivo://asu.cas.cz/stel/ccd700/wd230021,0
ivo://asu.cas.cz/stel/ccd700/vd280035,0
ivo://asu.cas.cz/stel/ccd700/sc210026,1
ivo://asu.cas.cz/stel/ccd700/sd140028,1
ivo://asu.cas.cz/stel/ccd700/a201511010049,1
ivo://asu.cas.cz/stel/ccd700/ub060044,0
ivo://asu.cas.cz/stel/ccd700/a201403130092,1
ivo://asu.cas.cz/stel/ccd700/ri260037,1
ivo://asu.cas.cz/stel/ccd700/a201406270018,1
ivo://asu.cas.cz/stel/ccd700/a201405050045,2
ivo://asu.cas.cz/stel/ccd700/a201407060035,1
ivo://asu.cas.cz/stel/ccd700/a201308280024,0
ivo://asu.cas.cz/stel/ccd700/a201503090057,1
ivo://asu.cas.cz/stel/ccd700/sd100007,3
ivo://asu.cas.cz/stel/ccd700/re300016,0
ivo://asu.cas.cz/stel/ccd700/ri270037,1
ivo://asu.cas.cz/stel/ccd700/a201503240019,0
ivo://asu.cas.cz/stel/ccd700/a201508090045,0
ivo://asu.cas.cz/stel/ccd700/a201308020068,2
ivo://asu.cas.cz/stel/ccd700/si260025,1
ivo://asu.cas.cz/stel/ccd700/sj090032,1
ivo://asu.cas.cz/stel/ccd700/qd220074,0
ivo://asu.cas.cz/stel/ccd700/tb160010,1
ivo://asu.cas.cz/stel/ccd700/qj150019,2
ivo://asu.cas.cz/stel/ccd700/vj030027,1
ivo://asu.cas.cz/stel/ccd700/qf190021,0
ivo://asu.cas.cz/stel/ccd700/a201507110023,0
ivo://asu.cas.cz/stel/ccd700/pg120017,0
ivo://asu.cas.cz/stel/ccd700/pa080053,3
ivo://asu.cas.cz/stel/ccd700/qd130023,1
ivo://asu.cas.cz/stel/ccd700/a201503230029,0
ivo://asu.cas.cz/stel/ccd700/nh080021,2
ivo://asu.cas.cz/stel/ccd700/mi200060,1
ivo://asu.cas.cz/stel/ccd700/a201512070009,0
ivo://asu.cas.cz/stel/ccd700/rk270016,1
ivo://asu.cas.cz/stel/ccd700/a201507310012,1
ivo://asu.cas.cz/stel/ccd700/sd180016,1
ivo://asu.cas.cz/stel/ccd700/oj080069a,1
ivo://asu.cas.cz/stel/ccd700/vj030035,2
ivo://asu.cas.cz/stel/ccd700/tj210011,0
ivo://asu.cas.cz/stel/ccd700/pi220031,3
ivo://asu.cas.cz/stel/ccd700/a201503180059,0
ivo://asu.cas.cz/stel/ccd700/si260012,1
ivo://asu.cas.cz/stel/ccd700/a201512070027,0
ivo://asu.cas.cz/stel/ccd700/pa080037,0
ivo://asu.cas.cz/stel/ccd700/a201403140033,0
ivo://asu.cas.cz/stel/ccd700/a201405140047,1
ivo://asu.cas.cz/stel/ccd700/ug270043,1
ivo://asu.cas.cz/stel/ccd700/sc210014,1
ivo://asu.cas.cz/stel/ccd700/a201509110017,3
ivo://asu.cas.cz/stel/ccd700/nh220051,0
ivo://asu.cas.cz/stel/ccd700/a201307200050,0
ivo://asu.cas.cz/stel/ccd700/rc100002,1
ivo://asu.cas.cz/stel/ccd700/wd240057,0
ivo://asu.cas.cz/stel/ccd700/mi070004,0
ivo://asu.cas.cz/stel/ccd700/a201312170034,1
ivo://asu.cas.cz/stel/ccd700/si220021,3
ivo://asu.cas.cz/stel/ccd700/tj120021,1
ivo://asu.cas.cz/stel/ccd700/a201403100093,1
ivo://asu.cas.cz/stel/ccd700/uh290017,0
ivo://asu.cas.cz/stel/ccd700/uh240011,3
ivo://asu.cas.cz/stel/ccd700/a201504040022,0
ivo://asu.cas.cz/stel/ccd700/pi140041,0
ivo://asu.cas.cz/stel/ccd700/ri090063,1
ivo://asu.cas.cz/stel/ccd700/ti210031,1
ivo://asu.cas.cz/stel/ccd700/a201402200031,0
ivo://asu.cas.cz/stel/ccd700/nh040017,2
ivo://asu.cas.cz/stel/ccd700/a201507060018,0
ivo://asu.cas.cz/stel/ccd700/sj070047,1
ivo://asu.cas.cz/stel/ccd700/tj310072,0
ivo://asu.cas.cz/stel/ccd700/re300013,3
ivo://asu.cas.cz/stel/ccd700/a201403130109,1
ivo://asu.cas.cz/stel/ccd700/a201508130021,3
ivo://asu.cas.cz/stel/ccd700/oj120008,3
ivo://asu.cas.cz/stel/ccd700/wc050036,1
ivo://asu.cas.cz/stel/ccd700/a201310310028,3
ivo://asu.cas.cz/stel/ccd700/a201306270029,0
ivo://asu.cas.cz/stel/ccd700/a201307190032,0
ivo://asu.cas.cz/stel/ccd700/sh160011,0
ivo://asu.cas.cz/stel/ccd700/tj310038,1
ivo://asu.cas.cz/stel/ccd700/a201401080032,1
ivo://asu.cas.cz/stel/ccd700/ni170020,0
ivo://asu.cas.cz/stel/ccd700/ul140009,0
ivo://asu.cas.cz/stel/ccd700/a201404070037,1
ivo://asu.cas.cz/stel/ccd700/mj280006,1
ivo://asu.cas.cz/stel/ccd700/a201403010019,0
ivo://asu.cas.cz/stel/ccd700/qi190040,3
ivo://asu.cas.cz/stel/ccd700/wd240050,0
ivo://asu.cas.cz/stel/ccd700/kk150018,0
ivo://asu.cas.cz/stel/ccd700/pj080044,1
ivo://asu.cas.cz/stel/ccd700/tg180023,0
ivo://asu.cas.cz/stel/ccd700/pg040003,3
ivo://asu.cas.cz/stel/ccd700/a201403100017,3
ivo://asu.cas.cz/stel/ccd700/tf290016,1
ivo://asu.cas.cz/stel/ccd700/a201403090078,1
ivo://asu.cas.cz/stel/ccd700/nd110040,1
ivo://asu.cas.cz/stel/ccd700/rj310006,1
ivo://asu.cas.cz/stel/ccd700/ti120041,1
ivo://asu.cas.cz/stel/ccd700/sd150038,1
ivo://asu.cas.cz/stel/ccd700/qc100017,3
ivo://asu.cas.cz/stel/ccd700/sj090042,1
ivo://asu.cas.cz/stel/ccd700/od010035,1
ivo://asu.cas.cz/stel/ccd700/ta260027,3
ivo://asu.cas.cz/stel/ccd700/si190034,1
ivo://asu.cas.cz/stel/ccd700/a201502200036,1
ivo://asu.cas.cz/stel/ccd700/vj020019,1
ivo://asu.cas.cz/stel/ccd700/a201402140023,1
ivo://asu.cas.cz/stel/ccd700/nd150034,1
ivo://asu.cas.cz/stel/ccd700/kk150034,1
ivo://asu.cas.cz/stel/ccd700/tb140027,1
ivo://asu.cas.cz/stel/ccd700/a201406100019,1
ivo://asu.cas.cz/stel/ccd700/tg310024,0
ivo://asu.cas.cz/stel/ccd700/pa270023,1
ivo://asu.cas.cz/stel/ccd700/mh010018,0
ivo://asu.cas.cz/stel/ccd700/ta260034,1
ivo://asu.cas.cz/stel/ccd700/ui040067,2
ivo://asu.cas.cz/stel/ccd700/mk030007,1
ivo://asu.cas.cz/stel/ccd700/tc100004,1
ivo://asu.cas.cz/stel/ccd700/of120037,1
